"mydate","v1","v2","v3","v4","v5","v6","mys"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-17,"04","14","18","32","35","38","01"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-21,"02","08","10","24","37","38","02"
2021-06-24,"07","11","15","23","31","34","01"
